ID,Difficulty,Question,A,B,C,D,E,Type,Group
224, Easy,"A consultant needs to send an email to subscribers who have made a purchase. The data used for the send exists on two data extensions—Subscribers and OrderTable, and the customer would like to include key information from both tables, such as: Customer IDFirstNameEmailAddressOrderIDOrderDateShippedDate Which SQL statement should the consultant use?","SELECT T1.CustomerID, T1.FirstName, T1.EmailAddress, T2.OrderID, T2. OrderDate, T2. ShippedDate FROM Subscribers T1 INNER JOIN OorderTable T2 ON T1.CustomerID=T2.CustomerID  ","SELECT T1.CustomerID, T1.FirstName, T1.EmailAddress, T2.OrderID, T2. OrderDate, T2. ShippedDate FROM Subscribers T1 Left JOIN OorderTable T2 ON T1.CustomerID=T2.CustomerID ","SELECT T1.CustomerID, T1.FirstName, T1.EmailAddress, T2.OrderID, T2. OrderDate, T2. ShippedDate FROM Subscribers T1 OUTER JOIN OorderTable T2 ON T1.CustomerID=T2.CustomerID ","SELECT T1.CustomerID, T1.FirstName, T1.EmailAddress, T2.OrderID, T2. OrderDate, T2. ShippedDate FROM Subscribers T1 RIGHT JOIN OorderTable T2 ON T1.CustomerID=T2.CustomerID ", ,CHOICE,Marketing Cloud
225, Easy,"A customer provides a file containing only new and updated subscriber records exported from its marketing database. The file will be uploaded to the customer's Enhanced FTP automatically at 3AM dailyThe customer requires that the import completes prior to 4AMOn average, the file will contain about 2 million rows of data each day Based on the customer's requirements and recommended best practices, how should the daily file be imported?​​​​​​","Import the file to a data extension, using the add and update method  ","Import the file to a list, using the “update only” method ","Import the file to a list, using the “add and update” method ","Import the file to a data extension, using the “overwrite” method ", ,CHOICE,Marketing Cloud
226, Easy,Subscribers are collected on a customer's website whose subscription database of record is Salesforce Marketing Cloud. The customer sends up to 5 emails per week based on subscriber activity. The list is:Compiled in a database in the website Content Management System (CMS)Imported into Marketing Cloud nightly at 11pm What action should be taken if a third party is sending a message for the customer outside of the Marketing Cloud? ​​​​​​,Engagement metrics will be passed into Marketing Cloud ,They will need to integrate with the Marketing Cloud SOAP API ,Unsubscribes should be synchronized between senders  ,The third-party send list should be pulled from the CMS , ,CHOICE,Marketing Cloud
227, Easy,What is a correct statement about a database of record?  Choose 2: ​​​​​,A database of record is a centralized storage repository of data about objects or people ,A database of record is any database containing subscriber data ,A database of records is a data structure in which multiple opt-in statuses can be stored for a subscriber ,A database of record is a system in which a subscriber’s status is maintained , ,CHECKBOX,Marketing Cloud
228, Easy,A bank wants to send out a series of emails to new customers that open a checking or savings account. The emails will be used to educate and inform customers regarding their current account and other bank offerings Data for the campaign will be in two data extensions: Customer and New AccountsThe Customer data extensions is currently used for multiple campaigns and is updated at 1 amThe New Accounts data is encrypted and will be placed on the FTP at 10pm Which automated workflow meets the customer's requirements?  ,"A scheduled automation that starts at 2 am, that executes Data Extract Activity, Import Activity, Query Activity, Wait Activity and Send Email Activity ","A triggered automation that executes File Transfer Activity, Import Activity, Query Activity, Wait Activity and Send Email Activity ","A scheduled automation that starts at 2 am, that executes File Transfer Activity, Import Activity, Query Activity, Wait Activity and Send Email Activity  ","A scheduled automation that starts at 12 am and executes a File Transfer Activity, Import Activity, Query Activities, Wait Activities and Send Email Activity ", ,CHOICE,Marketing Cloud
229, Easy,A company collects subscriptions on its website. It does the following Compiles that subscription list in a database in the website Content Management System (CMS)Posts this encrypted lists to Marketing Cloud nightly at 11pmUses Marketing Cloud as the database of recordSends up to five emails a week based on subscriber engagement with prior sends Which automation sequence (excluding waits) should cover these requirements? ​​​​​​,"File Transfer, Data Extract, Filter, Sends ","File Transfer, Query, Measures, Sends ","File Transfer, Import, Measures, Sends ","File Transfer, Import, Query, Sends  ", ,CHOICE,Marketing Cloud
230, Easy,A customer needs to import data from an SFTP site. The customer wants to: Segment the contents of the file and then send emailsTransfer the file to the SFTP site at various times dailySend to data extensions Which workflow should meet these requirements? ​​​​​​,Triggered Automation: Import File > SQL Query > Send emails  ,Scheduled Automation: Transfer File > Import File > SQL Query > Send Emails ,Scheduled Automation: Import File > SQL Query > Send Emails ,Triggered Automation: Import File > Group Refresh > Send Emails , ,CHOICE,Marketing Cloud
231, Easy,A customer is collecting data from a Smart Capture form that stores submissions in a data extension. The customer wants an email send to the marketing manager each morning that contains the previous day's submissions as a CVS attachment. Assuming that the customer has the attached feature enabled.  Which automation workflow will accomplish this? ​​​​​,Triggered Automation: Data Extract > SQL Query > Transfer File > Send Email ,Scheduled Automation: Data Extract > SQL Query > Transfer File > Send Email ,Triggered Automation: SQL Query > Data Extract > Transfer File > Send Email ,Scheduled Automation: SQL Query > Data Extract > Transfer File > Send Email  , ,CHOICE,Marketing Cloud
232, Easy,"A customer wants to automate the send of a monthly promotional email. The customer will upload an audience file to their account's Enhanced FTP on a monthly basis on the 15thday of each month, expecting the email to be deployed upon completion of the import activity. However, if the 15thof the month falls on a Saturday or Sunday, the customer will provide the file on the Friday prior to the 15thand expect the promotional email to be sent on that Friday. Given the customer's requirements, which method should be used to automate their monthly promotional email?",Create a triggered automation that includes an import activity and triggered send ,Create a scheduled daily automation that includes an import activity and user-initiated send ,Create a scheduled monthly automation that includes an import activity and triggered send ,Create a triggered automation that includes an import activity and user-initiated send  , ,CHOICE,Marketing Cloud
233, Easy,"A customer would like to send a quarterly re-engagement email to subscribers who have not opened in the previous three months. The customer's plans are to: Use an existing Paste HTML email for the first sendMake only minor changes to the email creative for future sendsUse an existing Measure to build the subscriber audience for current and future sendsDeploy emails manually for now, but possible automate in the future Which configuration is recommended for the re-engagement email send? ​​​​​​",Triggered send ,Guided Send ,Automated Send ,User-Initiated Send  , ,CHOICE,Marketing Cloud
234, Easy,A customer wants to display a subscriber's first name and date of send in its montly newsletter. Subscriber first name data is stored in a data extension that will not be used in the send definition.  Which option should be in this scenario?,Personalized Strings ,AMPscript  ,SQL Query ,Guided Template Language , ,CHOICE,Marketing Cloud
235, Easy,Which one do you like?,Option 1  ,Option 2 ,Option 3 ,Option 4 , ,CHOICE,Marketing Cloud
236, Easy,"A customer has several values that need to be used in the body of an email send: The data would be stored in a reference data extension, related on SubscriberKeyThere may be one or more records for each subscriberThe audience is generally over 1 million subscribersThe content is time sensitive and should be sent as quickly as possibleThe customer is not using ""catch and release"" sendingThe reference data extension contains 25 columns Which method should be used? ​​​​​​",AMPscript a single Lookup Function ,Serve Side Javascript a single LookupOrderedRows Function ,AMPscript a single Lookup OrderedRows Function  ,Dynamic content via the Dynamic Content Wizard , ,CHOICE,Marketing Cloud
237, Easy,Which statement is correct regarding tracking alieses?  Choose 2: ​​​​​​,Tracking aliases are found in Tracking and some standard reports ,Tracking aliases are associated with a URL in HTML as: tag=”alias text” ,Tracking aliases can differentiate click activity in an email to the same URL ,Tracking aliases are primarily relevant when used with email conversion tracking , ,CHECKBOX,Marketing Cloud
238, Hard,What is a capability of the Import within Contact Builder? Choose 2,"The data source can be a local file, data filter, or file on any FTP ","The target destination can be a DE, list, or All Contacts for Mobile Push or Connect ","Like the Import Wizard, the Contact Builder import definition can be executed without saving ","In order to use Map by Header Row, the fields in the DE and file must match exactly ", ,CHECKBOX,Marketing Cloud
239, Easy,NTO plans to use Contact Builder to increase the scope of customer information they can see in an effort to establish more effective 1:1 relationships. NTO has a separate instance of Salesforce Sales Cloud that serves as their current customer master database What action should be taken when using Contact Builder?  Choose 2 ​​​​​​,Conduct manual imports of customer information from Sales Cloud ,Create a data extension to incorporate the imported data from a Salesforce Dashboard ,Combine each individual’s channel contact information under one record ,Use Marketing Cloud Connect to include data from Sales Cloud , ,CHECKBOX,Marketing Cloud
240, Easy,"When more than one subscriber email address field is created within Contact Builder, what action tells the platform which email address to prioritize in the Email application? ​​​​​",Create a new Attribute Group referencing all the email address fields in Data Designer ,Create a new Import to populate subscriber email addresses into All Subscribers ,Add all email address fields into the Mobile Application and Predictive Intelligence Applications ,Add all email address fields into the Contact Configuration screen in the correct order  , ,CHOICE,Marketing Cloud
241, Easy,"When joining a data extension in Contact Builder, in which scenario should a consultant mark the Use as Root checkbox ​​​​​​",Supplemental data for an interaction in Journey Builder ,Database of record other than All Subscribers  ,One-to-many Relationship to the Contact Record ,Data for both Email and MobileConnect Sends , ,CHOICE,Marketing Cloud
242, Easy,A customer has three data extensions that need to be added to Contact BuilderCustomers contains customer informationOrders contains order informationProducts contains product information ,Customer Data  Customers  Orders  Products  ,Customer Data  Customers  Orders  Products ,Customer Data  Customers  Orders  Products ,Option 4 , ,CHOICE,Marketing Cloud
243, Easy,What statements are correct regarding Attribute Groups? Choose 2:,They link data extensions to subscriber lists ,They link data extensions to contacts ,They link data extensions to other data extensions ,They link subscriber lists to contacts. , ,CHECKBOX,Marketing Cloud
244, Easy,NTO is considering adopting Attribute Groups when incorporating data from their external systems. What statements are accurate regarding Attribute Groups? Choose 2:,They can contain only one data extension ,They can be created by templates to accomplish certain tasks ,They link data extensions to other data extensions or contacts ,They replicate the structure from the external system data into templates , ,CHECKBOX,Marketing Cloud
245, Hard,Which statement IS correct regarding the automation tools in the Marketing Cloud? Choose 3: ​​​,Automation Studio and Journey Builder allow users to define a wait state based on duration or duration + time ,Automation Studio allows users to inject Contacts from a data extension into an interaction in Journey Builder ,"Like Journey Builder, Automation Studio allows users to define the parameters for a send within the tool ",Journey Builder allows users to update a contact records in an interaction or import data into a data extension ,"Like Automation Studio, Journey Builder allows users to repeat an interaction indefinitely ",CHECKBOX,Marketing Cloud
246, Easy,"A customer needs to compare the engagement across three creative versions, and then send a follow-up email for those contacts who did not engage with any of the test versions. Which sequence of activities would best accomplish this? ​​​​​​",Engagement Split > Send Email > Wait > Random Split > Send Email ,Random Split > Send Email > Join > Decision Split > Wait > Send Email ,Random Split > Send Email > Wait > Engagement Split > Join > Send Email  ,Decision Split > Send Email > Engagement Split > Send Email , ,CHOICE,Marketing Cloud
247, Easy,"A customer wants to automate the process of sending a series of welcome emails based on the Subscriber's data. Emails should be sent weekly for up to five weeks. If a subscriber makes a purchase, they should stop receiving welcome emails. A Boolean flag should be sent in the data extension if the subscriber makes it through the welcome series. Which steps should be used to accomplish this in Journey Builder? ​​​​​","Define Goal, Send Email, Wait, Decision Split ","Random Split, Send Email, Wait, Define Goal ","Define Goal, Update Contact Data, Send Email, Wait  ","Update Contact Data, Wait, Send Email, Join ", ,CHOICE,Marketing Cloud
248, Easy,A customer wants to create a Journey with the goal of making users activate their accounts within 72hrs or registration. New account registrations are stored in a data extension via an API call with a Boolean field indicating whether the subscriber has activated their account. The journey should send an activation reminder emails 24 and 48hrs after creating an account. The user exits the journey if they activate their account. Which activities should be included in the customer's journey? ​​​​​​,24 hour Wait > Decision Split > Send Email > 24 hour Wait > Decision Split > Send Email  ,Decision Split > 24 hour Wait > Send Email > Decision Split > 48 hour Wait > Send Email ,24 hour Wait > Decision Split > Send Email > 48 hour Wait > Decision Split > Send Email ,Decision Split > 24 hour Wait > Send Email > Decision Split > 24 hour Wait > Send Email , ,CHOICE,Marketing Cloud
249, Hard,A user receives a message stating that there is an error binding data bound member when testing an Entry Event in Journey Builder. What can a user do to ensure that contacts enter this interaction successfully based on the error messages? Choose 2: ​​​​​,Select a source DE with a root relationship to the contact ,Make sure the contact is above the High Water Mark on the source data ,Import new subscribers to the All Subscribers table ,Fire the event in both Automation Studio and the Entry Event , ,CHECKBOX,Marketing Cloud
250, Easy,Why would a contact fail to enter a Journey Builder interaction? Choose 3: ​​​​​​,"The interaction allows re-entry only after exiting, and the contact already exists ",The contact falls below the High Water Mark ,"The interaction has an A/B/n split, and the contact does not meet the criteria ",The entry event was not fired via Automation Studio ,The contact did not meet the entry criteria ,CHECKBOX,Marketing Cloud
251, Hard,A customer executes a large number of sends via Marketing Cloud Connect and is concerned about API Limits. What should the consultant suggest to minimize the impact of Marketing Cloud Connect on daily API limits? ​​​​,Filter target audiences based on mapped profile attributes to reduce Bulk API calls ,Upgrade the Marketing Cloud Account to ConnectedApp Authentication ,Use Data Stream to sync object data into a Data Extension in the Marketing Cloud ,Share Sales Cloud user licenses across Marketing Cloud users. , ,CHECKBOX,Marketing Cloud
252, Easy,"NTO has scenario of a journey for ""post-purchasing communication: "" which re-entry setting is correct? ​​​​​",No re-entry ,Re-entry anytime ,Re-entry only after exiting  ,Re-entry after time , ,CHOICE,Marketing Cloud
253, Hard,"Customer Event Gather data through a tablet-based webform as part of a raffle into a data extensionWinner is randomly selectedAfter the event, an email should be sent to the participants to gather opt ins for marketing emails Define 2 things necessary ",Data extension with opt in status ,Send email activity which contains a link to subscription center ,WebCollect ,SmartCapture , ,CHECKBOX,Marketing Cloud
254, Easy,"Collect addresses through SmartCapture, segment the data, send emails referencing data from a data extension What skillset is needed? ​​​​​",AMPscript ,HTML ,CSS ,SQL  , ,CHOICE,Marketing Cloud
255, Easy,What are two ways Contact Builder can alter the data in Data Extensions ​​​,Add single record ,Extract data ,Clear records ,Option 4 , ,CHECKBOX,Marketing Cloud
256, Easy,How are publication lists used in the Marketing Cloud? ​​​​​​,"To send communication to all subscribers, regardless of opt-in status ",To manage subscribers in guided and triggered email sends ,To build dynamic content rules by subscriber type ,To allow subscribers to opt-down/out instead of unsubscribing from all  , ,CHOICE,Marketing Cloud
257, Hard,"What are two possible outcomes when ""Send as Multiple MIME"" is selected during the send process?  Choose 2: ​​​​​",Open and click activity are tracked in either version ,The email will avoid detection by various SPAM filters ,An auto-generated text version will be sent with your HTML email ,A custom text version will be sent with your HTML email , ,CHECKBOX,Marketing Cloud
258, Easy,"NTO needs to reduce the amount of work when managing messages to customer, but cannot add any more personnel due to budget constraints. There has been an increased number of customer purchases on their website, and the team currently sends batch order confirmations What solution will decrease manual workloads on the team and will improve their customers experience?  ",A file drop automation to send emails to customers who have made a purchase ,A user-initiated message to send an email to customers who made a purchase daily ,A scheduled automation to send emails to customers who made a purchase daily ,A triggered message to send an email as soon as a customer completes a purchase  , ,CHOICE,Marketing Cloud
259, Easy,"A consultant has a data extension that contains all current product information. The customer wants to refresh data each morning by importing a CSV containing today's product catalog. The product catalog is never the same, products can be added and removed Which import type should be used? ",Overwrite  ,Add Only ,Add/Update ,Update Only , ,CHECKBOX,Marketing Cloud
260, Hard,"NTO has a small catalog of items featured in company emails. The NTO marketing team manages what images, copy, suggested items, and call-to-action are used with each item in this catalog within a database. This data is saved into a data extension in the Marketing Cloud and then called into the emails dynamically.Each time a change is made to the content, a new, updated file is dropped on NTO's FTP. A proof email is then sent to business stakeholders for final approval.Using automation studio, how can NTO ensure that the catalog stays up-to-date? ",Create an API-driven process to put the data directly into the data extension when any data is changed.,Create a file drop automation to import the file when placed on the specified directory on the Enhanced FTP,Create a scheduled automation that runs every 15 minutes to import the file multiple times a day ,"Create a scheduled automation to import the file, and send proof emails each morning when changes were detected ", ,CHECKBOX,Marketing Cloud
261, Easy,A marketer is updating a data extension by manually importing a file. The marketer wants to ensure only new records are added to the data extension during the import process. In which two ways should the data extension and import be configured? Choose 2 answers,Select the update type “Add and Update” ,Select the update type “Overwrite” ,Select the update type “Add Only” ,Ensure the data extension has a Primary Key , ,CHECKBOX,Marketing Cloud
262, Easy,"Northern Trail Outfitters' (NTO) branding guidelines require heavy use of imagery on its website, apps, emails, ads, etc. What are two ways that NTO can optimize its email design to honor branding guidelines and ensure subscribers are getting the best experience possible?",Make the email completely image based ,Use custom corporate font to match NTO brand ,Add background colors that match branding ,Style alt text for when images do not display automatically , ,CHECKBOX,Marketing Cloud
263, Easy,"Northern Trail Outfitters (NTO) uses link aliases within the HTML versions of its emails to indicate when clicks occurred, even if the same URL is used multiple times within a send. A marketing employee has been asked to pull the email addresses of all customers who clicked on the link associated with ""Main Banner Top"" in NTO's most recent newsletter.Where can the marketer most easily find this information?",Tracking Job Links tab > URL ID ,Tracking Overview tab > Clicks ,Tracking Click Activity tab > Link View  ,racking Click Activity tab > Email Overlay View , ,CHOICE,Marketing Cloud
264, Easy,Which two best practices should the customer follow to ensure marketers across the company are taking full advantage of Content Builder? Choose 2 answers,Create folders for each type of uploaded content ,"Import all content up front, rather than piece by piece ",Optimize the way content is stored with a naming convention ,"Plan for content to be used cross-channel, eliminating duplicates ", ,CHECKBOX,Marketing Cloud
265, Easy,National Trail Outfitters is Launching a monthly newsletter for its subscribers to opt-in to.NTO needs to ensure CAN-SPAM compliance.In which two ways can they avoid emails being blocked or marked as spam? Choose 2 answers,Use animated emojis in subject lines to draw the eye ,Include a physical mailing address of the company ,Use a clear “From” name that is easily recognized ,Include a “Contact Us” link in the footer , ,CHECKBOX,Marketing Cloud
266, Easy,A marketer is completing a Send Preview based on a pre-deployment checklist What task is validated during the Send Preview?,Confirm that each content area specified in the dynamic content rules exists  ,Ensure subscribers have not unsubscribed or are undeliverable ,Identify phrases like “click here” or “Free!” that could be marked as spam ,Ensure subscriber status at the time of send is Subscribed or Bounced. , ,CHOICE,Marketing Cloud
267, Hard,"Northern Trail Outfitters (NTO) wants to leverage Content Builder templates to streamline the email creation process. For tis monthly email newsletter, NTO includes content specific to the company's loyalty and non-loyalty members. How should NTO build the email?",Create dynamic content with a SQL Query activity  ,Create a template and lock content in the template ,Create a template-based email using dynamic content ,Create multiple versions of the email for loyalty and non-loyalty members , ,CHOICE,Marketing Cloud
268, Easy,A marketing team is creating a new data extension. The data extension configuration is very similar to a data extension that is already in use. What creation method should the team use to create the new data extension?,Create from Template ,Create from a Filtered Data Extension ,Create from Existing  ,Create from New , ,CHOICE,Marketing Cloud
269, Easy,A marketer for Northern Trail Outfitters (NTO) needs to dynamically update the sender name and address based on the sales representative associated with the account. The data is stored in two separate data extensions. Which two tools should the marketer use? Choose 2 answers,AMPscript Lookup ,Sender Profiles ,Delivery Profiles  ,Personalization Strings , ,CHOICE,Marketing Cloud
270, Easy,A Company has set out to increase their subscriber Base. They hired a team of Marketing consultants to develop an acquisition plan backed by data. What are two effective methods to acquire new subscribers? Choose 2 answers,Ask for an email address when a customer makes a purchase in-store ,Require customers to provide their email address when calling customer service ,Have customers opt in to email before they can shop online ,Create an in-store SMS campaign that offers a discount for opting in , ,CHECKBOX,Marketing Cloud
271, Easy,"Northern Trail Outfitters (NTO) is launching a custom, corporate-branded apparel website. They are concerned about the new initiative's campaign impacting deliverability on its consumer retail sends. NTO has purchased a second IP address to be used for the corporate site's email sending.What feature would the NTO administrator use to specify which IP address is used for retail vs corporate?",Send Classification ,Send Definition ,Delivery Profile  ,Sender Profile , ,CHOICE,Marketing Cloud
272, Easy,"NTO has list of Platinum list of Members containing 50,000 subscribers and a lifetime members list containing 20,000 subscribers; 7,000 subscribers in the Lifetime Member list also exist in the Platinum Member list. An email was deployed to the Platinum members, but the marketing team would now like to send the same email to the Lifetime Member list.Which feature should be used when sending the second email to ensure that the 7,000 subscribers that exist on both list don't receive the same email twice?",Exclusion List  ,Exclusion Script ,Domain Exclusion List ,Suppression List , ,CHOICE,Marketing Cloud
273, Easy,"Northern Trail Outfitters' marketing team includes the nearest store to customers in the templates of its emails. The data extension only needs to be updated when store information changes, such as when a new store opens or a store close. How can this be achieved?",Create an automation to begin when information changes on a store object using a workflow rule ,Create a file drop automation to initiate when the store’s data extension is updated via import ,Create a scheduled automation to import the file on a recurring basis with store information ,Create a file drop automation to import the file when placed on the specified directory on theEnhanced FTP  , ,CHOICE,Marketing Cloud
274, Easy,A marketer has been tasked with ensuring Northern Trail Outfitters' unsubscribe mechanisms are CAN-SPAM compliant and follow industry best practicesWhich two criteria should the marketer incorporate into campaigns to ensure compliance and align with current best practices? Choose 2 answers,Process every individual’s unsubscribe request within 14 business days ,Ensure opt-out mechanisms are operational for at least 30 days post-send ,Ask the subscriber to log in to the Preference Center to confirm opt-out ,Include an unsubscribe link in the header or footer of emails , ,CHECKBOX,Marketing Cloud
275, Easy,"What tool is recommended to render personalization strings, AMPscript, and dynamic content in an email message before sending it to a subscriber?",Send Flow ,List Detective ,Test Send ,Preview and Test  , ,CHOICE,Marketing Cloud
276, Hard,"An email Marketer has been tasked with increasing open rates on a weekly newsletter that currently uses a consistent, identifiable subject line: ""NTO Weekly: Topics of interest this week."" Which two best practices should the marketer use to make the subject line more effective? Choose 2 answers",Keep the subject text between 50 and 100 characters long ,"Include “RE:”, “FWD:”, “etc.” To get the reader’s attention ",A/B test the effectiveness of different subjects ,Include information relevant to the message in the subject line , ,CHECKBOX,Marketing Cloud
277, Easy,"Northern Trail Outfitters (NTO) created several lists of subscribers, and would now like to send an email to all female subscribers.Which feature allows NTO to easily target this segment?",Publication List ,Filtered Group  ,Smart Capture ,List Detective , ,CHOICE,Marketing Cloud
278, Easy,What single place in Content Builder would a marketer store CSS used in several Paste HTML Templates?,Script Activity ,Code Snippet  ,Style Block ,Free From Code Block , ,CHOICE,Marketing Cloud
279, Easy,"Northern Trail Outfitters has a Master Customer shared data extension. The company wants to make the table available to some of the business units, but not all of them.How can access to the Master Customer table be restricted?",Data Extension Sharing Rules ,Manage Data Extension Polices ,Data/Time Range for Access ,Shared Data Extension Permissions  , ,CHOICE,Marketing Cloud
280, Hard,"A new marketing manager at Northern Trail Outfitters (NTO) has been asked to evaluate whether to use HTML Emails or Templates for weekly newsletter sends, which are created by a marketing coordinator with limited coding ability. While NTO has HTML developers on staff, their time is not guaranteed on an ongoing basis.Which two characteristics of Templates would benefit NTO when creating its weekly newsletter in Content Builder? Choose 2 answers",Email can be formatted for desktop and mobile without extra coding ,"One template can only be used for one email, maintaining brand standards ","HTML developers are needed to build templates, but not emails ",Templates provide the ability to create email messages using content blocks , ,CHECKBOX,Marketing Cloud
281, Easy,A marketer at Northern Trail Outfitters (NTO) has been tasked with growing its email subscriber audience Which three best practices should the marketer keep in mind while trying to acquire new email subscribers? Choose 3 answers,Automatically opt-in all new customers ,Tell customers why they want to receive NTO emails ,Set expectations on send frequency and schedule ,Use explicit opt-in for any new web sign-ups ,Ask for detailed demographic information ,CHECKBOX,Marketing Cloud
282, Hard,NTO is looking at using journey builder rather than automation studio to send emails. What are three benefits of using Journey Builder? Choose 3 answers,Extracting data from an Audience data extension for analysis ,Criteria setting to segment contacts based on behaviour using SQL ,Goal setting to have the system listen to see if users met the goal ,Updating or creating Salesforce CRM objects or records ,A/B/N testing as part of the workflow to contact timing and creative tests ,CHECKBOX,Marketing Cloud
283, Easy,A marketer is about to introduce content builder to the entire NTO's Marketing team. Which three considerations should the marketing team keep in mind as they begin using Content Builder? Choose 3 answers,Create a folder structure prior to importing assets ,Import duplicate copies of content for different messages or groups ,Establish a naming convention optimized for search ,Review permissions and roles for users accessing Content Builder ,Focus on creating and importing content for one primary channel ,CHECKBOX,Marketing Cloud
284, Hard,A marketing manager needs to evaluate two create versions to determine which is more effective in increasing sales conversions and if these correlates to the version that receives the most clicksWhich two A/B test options should be used?Choose 2 answers,The test administrator selects the desired audience test segment sizes ,The test administrator chooses which subscribers to place in each audience ,The system automatically sends the winning version to the remainder audience ,The test administrator manually selects the version to send to the remainder , ,CHECKBOX,Marketing Cloud
285, Hard,"A customer has send log they are using to track the email addresess  that were sent to, date and time of the send, and the name of the email sent for reporting purposes, Per best practice, the customer stores 30 days of data in their Send Log and then archives the data into another data extension that holds data for one year Which activity should be used to achieve the backup automatically?",SQL Query ,Import File ,Filter ,Data Extract  , ,CHOICE,Marketing Cloud
286, Hard,"As part of a daily shipping notification automation, Northern Trail Outfitters needs to join data from the Shipping data extension and the Purchase data extension.What activity is designed to address this scenario?",Group Refresh ,File Transfer Activity ,SQL Query Activity ,Filter Activity  , ,CHOICE,Marketing Cloud
287, Easy,An email marketer needs a point and click to create a segment based on everyone who lives in a five-mile radius of a specific zip code and to see an accurate count of subscribers in real time. What solution meets this specification?,Data Filters ,Contact Builder ,SQL Query Activity ,Audience Builder  , ,CHOICE,Marketing Cloud
288, Hard,A marketer sends an email to sendable data extension. The data extension has a subscriber relationship that matches Customer_ID on the data extension to Subscriber Key on the All Subscribers List What is a true statement regarding the default email send behaviour for a pre-existing subscriber?,The email will be sent to the field marked as the primary Key ,The email will be sent to the Subscriber Key on the All Subscribers List  ,The email will be sent to the email address stored on the All Subscribers List ,he email will be sent to the email address stored on the data extension , ,CHOICE,Marketing Cloud
289, Easy,Northern Trail Outfitters has hired a new email designer who needs to be trained in AMPscript. Which statement best describes how AMPscript can be used of customize email messages?,Automates the template creation process ,Inserts responsive content based on the user’s viewing device ,Provides advanced content personalization  ,Automates the flow of creating email messages , ,CHOICE,Marketing Cloud
290, Easy,"A marketer sent a promotional email to contacts who recently attended a trade show. The data extension used for the send contained 3,100 records. The delivery rate on the send was lower than anticipated. After viewing tracking information, she determined many email addresses were problematic. Which send tracking metric provides the bounce description ""Address is non-existent at the domain""?",Hard Bounce  ,Block Bounce ,Undeliverable ,Soft Bounce , ,CHOICE,Marketing Cloud
291, Hard,Northern Trail Outfitters is using a Smart Capture from on a CloudPage to capture registrations in a data extension. Corporate has requested a nightly file with all registrants in this data extension be sent daily from marketing Cloud to an external SFTP?Which automation configuration should be used to achieve this?,File Drop Starting Source > SQL Query Activity > File Transfer Activity  ,File Drop Starting Source > Data Extract Activity > File Transfer Activity ,Schedule Starting Source > Data Extract Activity > Fie Transfer Activity ,Schedule Starting Source > SQL Query Activity > File Transfer Activity , ,CHOICE,Marketing Cloud
292, Easy,A marketer needs to import a text file and does not have access to the account's Enhanced FTP site. What is the recommended way to import the data?,Import Activity Interaction  ,Import Subscriber Wizard ,Manual Data Filter Refresh ,Data Extract Activity Interaction , ,CHOICE,Marketing Cloud
293, Easy,"After receiving a GDPR ""Right to be Forgotten"" Request from their compliance team, a marketer must remove a contact from Email Studio.Where should this action be initiated in Marketing Cloud?",Contact Builder > Contacts Configuration  ,Administration > Contacts ,Contact Builder > All Contacts ,Email Studio > All Subscribers , ,CHOICE,Marketing Cloud
294, Hard,"A marketing team is using two systems to send emails. The team wants to maintain unsubscribe information between both of the systems. In order to remain complaint, they would like to update Marketing Cloud subscription status weekly based on unsubscribes from the other system.Which solution should they use to maintain subscriber status?",Create a suppression workflow for the unsubscribed accounts  ,"Import unsubscribes into a data extension, then update status with a query ",Create an automation triggered on unsubscribes from the other system ,Import unsubscribes with the appropriate status into All Subscribers , ,CHOICE,Marketing Cloud
295, Hard,A marketing manager wants to provide unique content to each customer in an upcoming email campaign. Which three features could be used to create individualized content in the email?,Specialised content ,Dynamic content ,Personalization strings ,Audience segmentation ,Einstein content ,CHECKBOX,Marketing Cloud
296, Easy,Northern Trail Outfitters uses HTML emails that have headers and footers coded into the email. What tool can the marketer use to control default headers and footer on email sends,Sender profile ,Dynamic content ,Delivery profile  ,AMPscript lookups , ,CHOICE,Marketing Cloud
297, Easy,Which two features can be inserted into the code using a system-defined code snippet when creating a custom HTML Paste Email within Content Builder? Choose 2 answers,Track email opens ,Link tooltip ,Stored content boxes ,Physical mailing address , ,CHECKBOX,Marketing Cloud
298, Easy,NTO has a Master Subscriber data extension that contains profile and preference information. Various segments are created from the Master Subscriber data extension and each segment will need to be automatically refreshed daily. Which two activities should NTO consider using? Choose 2 answers,Data extract activity ,Segment activity ,Filter activity ,SQL query activity , ,CHECKBOX,Marketing Cloud
299, Hard,NTO completed a data review process and discovered their data extensions folders contain hundreds of filtered data extensions which are never used.What tool could NTO use to alleviate the number of filtered audience that are related for sending?,SQL query activities ,Data filter ,Filter activity  ,Filtered group , ,CHOICE,Marketing Cloud
300, Easy,A marketer wants to send a transactional email that is a CAN-SPAM compliant. Which three criteria should be met to ensure compliance with the CAN_SPAM Act? Choose 3 answers,The email body presents any commercial content prior to the transactional content ,The email confirms a transactional between the recipient and sender. ,The subject line is transactional in nature and non-promotional. ,The email body presents the transactional content prior to any commercial content. ,The subject line contains a promotional to entice the recipient. ,CHECKBOX,Marketing Cloud
